mer_ID,budget,"loc_list
"
6345,2273,"346:91:146:83:57:60:330:78:348
"
8137,100,"341
"
9929,360,"308
"
458,100,"33
"
7626,100,"272
"
9418,100,"216
"
1739,100,"448
"
3531,100,"214
"
5323,100,"457
"
8907,100,"381
"
6604,100,"262
"
8396,100,"132
"
717,100,"360
"
2509,100,"172
"
6093,100,"435
"
7885,100,"372
"
9677,100,"245
"
206,100,"372
"
1998,100,"140
"
3790,100,"91
"
5582,100,"474
"
7374,100,"482
"
1487,100,"162
"
3279,100,"108
"
6863,364,"467:305:172:382
"
976,100,"216
"
2768,100,"167
"
4560,100,"263
"
6352,100,"63
"
8144,307,"262
"
9936,100,"220
"
465,100,"340
"
2257,100,"457
"
4049,100,"11:32:468
"
5841,2215,"82:20:333
"
7633,100,"192
"
9425,100,"34
"
1746,100,"358
"
3538,100,"84
"
8914,100,"120
"
1235,100,"369
"
6611,100,"308
"
8403,100,"34
"
724,100,"73
"
4308,100,"358
"
7892,100,"52
"
9684,100,"345
"
213,338,"11
"
2005,1503,"88
"
3797,670,"210:99
"
5589,100,"214
"
7381,100,"456
"
1494,100,"85
"
6870,100,"333
"
8662,100,"40
"
2775,100,"474
"
4567,3279,"91:60
"
6359,100,"228
"
472,100,"457
"
4056,1116,"346
"
5848,100,"215
"
7640,100,"379
"
9432,714,"9
"
7129,100,"488
"
8921,100,"125
"
1242,750,"340
"
3034,100,"185
"
6618,100,"498
"
8410,100,"32
"
731,100,"82
"
2523,100,"471
"
7899,100,"55
"
220,903,"144:159:426:204:496:61:349:137:278:296:53
"
2012,100,"457
"
3804,520,"6
"
5596,100,"35
"
9180,488,"480
"
1501,683,"360
"
3293,100,"157
"
990,100,"444
"
8158,100,"318
"
479,100,"213
"
2271,100,"162
"
5855,100,"137
"
7647,100,"120
"
3552,100,"483
"
5344,100,"199
"
8928,100,"337
"
1249,100,"453
"
3041,100,"214
"
4833,100,"346
"
738,100,"56:340
"
2530,100,"215
"
6114,100,"172
"
7906,100,"32
"
227,208,"177
"
2019,100,"293
"
5603,100,"94
"
9187,100,"441
"
1508,100,"107
"
5092,100,"6
"
997,100,"192
"
2789,949,"355
"
4581,100,"60
"
6373,100,"330
"
486,100,"239
"
2278,100,"207
"
4070,100,"364
"
5862,6911,"146:197:83:125:190:196:205:256:34:49:91:435:246:6:21:57:60:330:78:345:348:372
"
1767,100,"6
"
5351,100,"82
"
8935,100,"99
"
3048,100,"214
"
6632,100,"187
"
745,100,"230
"
4329,100,"136
"
6121,100,"6
"
234,220,"272
"
2026,100,"402
"
3818,1210,"308:163
"
5610,100,"317:372
"
9194,100,"329
"
8683,100,"461
"
1004,1669,"410
"
2796,100,"6
"
4588,100,"34
"
9964,100,"15
"
493,2719,"197:83:125:190:346:91
"
2285,100,"360
"
4077,100,"6
"
7661,100,"355
"
9453,100,"398
"
3566,100,"401
"
7150,100,"448
"
6639,100,"272
"
752,100,"20
"
2544,100,"86
"
4336,100,"83
"
9712,1091,"368
"
241,1316,"360
"
3825,100,"356
"
5617,100,"343
"
7409,100,"277
"
9201,307,"254:17
"
1522,100,"63
"
6898,100,"272
"
2803,2100,"178
"
500,100,"2
"
9460,100,"28
"
1781,100,"83
"
7157,327,"360
"
8949,100,"230
"
1270,100,"52
"
4854,100,"263
"
8438,100,"437
"
759,100,"387
"
4343,100,"349
"
6135,100,"240
"
9719,100,"235
"
248,426,"178
"
2040,474,"169:49
"
3832,100,"114
"
5113,100,"378
"
6905,476,"84
"
8697,100,"277
"
4602,100,"6
"
6394,100,"372
"
9978,100,"159
"
507,286,"32
"
5883,100,"430
"
7675,100,"343
"
1788,3547,"410
"
3580,1856,"79:345:372
"
5372,100,"167
"
7164,100,"490
"
8956,100,"32
"
3069,100,"193
"
4861,724,"407
"
8445,100,"261
"
766,100,"213
"
2558,100,"178
"
6142,100,"6
"
7934,100,"461
"
9726,100,"186
"
2047,100,"249
"
7423,100,"262
"
9215,100,"340
"
1536,1389,"84
"
3328,100,"198
"
5120,100,"172
"
6912,100,"423
"
8704,100,"6
"
1025,100,"263
"
4609,100,"6
"
6401,2487,"159:249:84:182:362
"
9985,100,"162
"
514,100,"461
"
2306,100,"346
"
5890,100,"256
"
7682,5969,"133:34:76:402:159:186:480:249:48:60:69:330:84:348:360:114:372:126:404:155:188:14:272:284:44:56
"
9474,100,"165
"
3,100,"132
"
5379,100,"296
"
7171,2092,"441
"
1284,100,"125
"
3076,100,"366
"
6660,100,"157
"
8452,153,"32
"
7941,100,"437
"
262,100,"164
"
2054,100,"456
"
5638,100,"360
"
9222,100,"245
"
3335,100,"340
"
5127,100,"378
"
6919,100,"453
"
